session_id,condition_id,participant_id,seq,t_frame_ns,size_bytes,mode
S01,C1,P01,1,830005438001457,600,DEPTH
S01,C1,P01,2,830005486274535,728,DEPTH
S01,C1,P01,3,830005535396365,614,DEPTH
S01,C1,P01,4,830005600719924,639,DEPTH
S01,C1,P01,5,830005670037448,619,DEPTH
S01,C1,P01,6,830005718287063,720,DEPTH
S01,C1,P01,7,830005777353729,663,DEPTH
S01,C1,P01,8,830005828802092,672,DEPTH
S01,C1,P01,9,830005896603389,681,DEPTH
S01,C1,P01,10,830005960420116,702,DEPTH
S01,C1,P01,11,830006022474545,682,DEPTH
S01,C1,P01,12,830006081225611,637,DEPTH
S01,C1,P01,13,830006141520818,699,DEPTH
S01,C1,P01,14,830006216549451,667,DEPTH
S01,C1,P01,15,830006278112317,732,DEPTH
S01,C1,P01,16,830006353566914,702,DEPTH
S01,C1,P01,17,830006406654766,609,DEPTH
S01,C1,P01,18,830006458561494,616,DEPTH
S01,C1,P01,19,830006511280227,708,DEPTH
S01,C1,P01,20,830006559518333,606,DEPTH
S01,C1,P01,21,830006618069616,607,DEPTH
S01,C1,P01,22,830006674705328,699,DEPTH
S01,C1,P01,23,830006755313642,622,DEPTH
S01,C1,P01,24,830006807548722,558,DEPTH
S01,C1,P01,25,830006849214465,713,DEPTH
S01,C1,P01,26,830006905410342,715,DEPTH
S01,C1,P01,27,830006970551992,690,DEPTH
S01,C1,P01,28,830007033920370,554,DEPTH
S01,C1,P01,29,830007096083716,619,DEPTH
S01,C1,P01,30,830007156620109,538,DEPTH
S01,C1,P01,31,830007213134068,696,DEPTH
S01,C1,P01,32,830007256089317,690,DEPTH
S01,C1,P01,33,830007310183182,617,DEPTH
S01,C1,P01,34,830007358533937,566,DEPTH
S01,C1,P01,35,830007415282428,608,DEPTH
S01,C1,P01,36,830007466003476,681,DEPTH
S01,C1,P01,37,830007530772304,705,DEPTH
S01,C1,P01,38,830007585406423,697,DEPTH
S01,C1,P01,39,830007635700128,706,DEPTH
S01,C1,P01,40,830007692898137,735,DEPTH
S01,C1,P01,41,830007758998598,645,DEPTH
S01,C1,P01,42,830007820523289,580,DEPTH
S01,C1,P01,43,830007871478626,736,DEPTH
S01,C1,P01,44,830007931403230,717,DEPTH
S01,C1,P01,45,830007977908071,613,DEPTH
S01,C1,P01,46,830008034081007,642,DEPTH
S01,C1,P01,47,830008087125111,596,DEPTH
S01,C1,P01,48,830008147813259,548,DEPTH
S01,C1,P01,49,830008217966304,655,DEPTH
S01,C1,P01,50,830008271932731,632,DEPTH
S01,C1,P01,51,830008320000000,690,DEPTH
S01,C1,P01,1,830001624125600,590,DEPTH
S01,C1,P01,2,830001667842239,668,DEPTH
S01,C1,P01,3,830001726981091,601,DEPTH
S01,C1,P01,4,830001781130818,615,DEPTH
S01,C1,P01,5,830001839061661,639,DEPTH
S01,C1,P01,6,830001889064122,579,DEPTH
S01,C1,P01,7,830001950527112,578,DEPTH
S01,C1,P01,8,830002014047701,666,DEPTH
S01,C1,P01,9,830002060063326,642,DEPTH
S01,C1,P01,10,830002139171654,694,DEPTH
S01,C1,P01,11,830002193555785,577,DEPTH
S01,C1,P01,12,830002258641327,743,DEPTH
S01,C1,P01,13,830002332781985,644,DEPTH
S01,C1,P01,14,830002392061989,604,DEPTH
S01,C1,P01,15,830002442477666,685,DEPTH
S01,C1,P01,16,830002489218336,589,DEPTH
